id,name,country,state,city,location,zip_code,website,phone,status,approved_by,user_id,logo_url
1,@Comm Corporation,United States,California,San Mateo,2041 Pioneer Ct. Suite 204,94403,www.atcomm.com,6503758188,approved,admin-krupa,admin-krupa,logos/NULL
2,1st Financial Bank USA,United States,South Dakota,North Sioux City ,P.O. Box 7300,57049,www.1fbusa.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
3,1st St NW Inc,United States,Minnesota,Eagan ,3140 Neil Armstrong Boulevard . Suite 103,55121,www.fsnw.com,6519051000,approved,admin-krupa,admin-krupa,logos/NULL
4,24 Hour Fitness,United States,California,Carlsbad,Member Service Department,92018,www.24hourfitness.com,NULL,approved,admin-krupa,admin-krupa,logos/24 hour.png
5,360 Networks,United States,Alabama,Addison,1510 1066 West Hastings Street,35540,www.360.net,NULL,approved,admin-krupa,admin-krupa,logos/NULL
6,3Com Corporation,United States,Massachusetts,Marlborough,350 Campus Drive,1752,www.3com.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
7,3M Company,United States,Minnesota,School Village,3M Corporate Headquarters,55144,www.3m.com,NULL,approved,admin-krupa,admin-krupa,logos/3M Company.png
8,4yoursoul.com,United States,Nevada,Henderson,111 Corporate Park Drive,89074,www.4yoursoul.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
9,5280 Solutions Inc,United States,Colorado,Highlands Ranch,630 Plaza Drive Suite 150,80129,www.5280solutions.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
10,84 Lumber Company,United States,Ohio,Pullman,1019 Rte. 519,15330,www.84Lumber.com,7242288820,approved,admin-krupa,admin-krupa,logos/NULL
11,A One Cleaners,United States,Ohio,Cincinnati,9157 Winton Road,45231,NULL,5135211212,approved,admin-krupa,admin-krupa,logos/NULL
12,The Great Atlantic & Pacific Tea Company Inc,United States,New Jersey,Montvale,2 Paragon Drive,7645,www.aptea.com,2015714132,approved,admin-krupa,admin-krupa,logos/NULL
13,A Haaker Consulting Inc,United States,South Carolina,Travelers Rest ,101 Majestic Court,29690,NULL,8648362732,approved,admin-krupa,admin-krupa,logos/NULL
14,Teichert,United States,California,Sacramento,3500 American River Drive,95864,www.teichert.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
15,A C Coy Company,United States,Pennsylvania,Pullman,400 Technology Drive,15317,www.accoy.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
16,A E Feldman Associates Inc,United States,New York,Great Neck,445 Northern boulevard,11021,www.aefeldman.com,5167197900,approved,admin-krupa,admin-krupa,logos/NULL
17,A P Technical Resources,United States,Texas,Austin ,11525 Stonehollow Drive Suite 150,78758,www.infics.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
18,A|X Armani Exchange,United States,New York,New York,10 Columbus Circle Time,10019,www.armaniexchange.com,2128239321,approved,admin-krupa,admin-krupa,logos/NULL
19,A4 Health Systems,United States,North Carolina,Cary,5501 Dillard Drive,27511,www.a4healthsystems.com,9198516177,approved,admin-krupa,admin-krupa,logos/NULL
20,AAA Life Insurance Company,United States,Michigan ,Livonia,17250 Newburgh Road,48152,www.aaalife.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
21,AAC Associates Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,logos/NULL
22,AAF Mcquay Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,logos/NULL
23,AAI Corporation,United States,Maryland,Hunt Valley,124 Industry Lane,21030,www.aaicorp.com,4106661400,approved,admin-krupa,admin-krupa,logos/NULL
24,Aarons Sales & Lease Ownership,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,logos/NULL
25,AARP,United States,District of Columbia,Washington,601 E Street NW,20049,www.aarp.org,NULL,approved,admin-krupa,admin-krupa,logos/NULL
26,AARP Pharmacy Healthcare Options,United States,Pennsylvania,Pullman,P.O. Box 1017,18936,www.aarphealthcare.com,8004446544,approved,admin-krupa,admin-krupa,logos/NULL
27,AB & I Foundry,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,logos/NULL
28,ABA Staffing Inc,United States,California,San Francisco,33 New Montgomery Street Suite 800,94105,www.abastaff.com,4154344222,approved,admin-krupa,admin-krupa,logos/NULL
29,Abacus Software Group Inc,United States,Massachusetts,Burlington,121 Middlesex Turnpike Suite 201,1803,www.abacussoftware.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
30,Abacus Technology Corporation,United States,Maryland,Chevy Chase,5454 Wisconsin Avenue,20815,www.abacustech.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
31,Abaqus Inc,United States,Rhode Island,Providence,Rising Sun Mills 166 Valley Street,2909,www.abaqus.com,4012764400,approved,admin-krupa,admin-krupa,logos/NULL
32,ABBOTT Bioresearch Center,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,logos/NULL
33,Abbott Laboratories,United States,Illinois,Lincolnton ,100 Abbott Park Road,60064,www.abbott.com,8479376100,approved,admin-krupa,admin-krupa,logos/Abbott Laboratories.png
34,ABC News,United States,New York,New York, 7 West 66th Street,10023,www.abcnews.com,NULL,approved,admin-krupa,admin-krupa,logos/NULL
35,De La Rue CPS,United States,Texas,Addison ,6401 Commerce Drive,75063,www.delarue.com,9725821100,approved,admin-krupa,admin-krupa,logos/NULL
36,Abercrombie &  Fitch,United States,Ohio,New Albany,6301 Fitch Path,43054,www.abercrombie.com,NULL,approved,admin-krupa,admin-krupa,logos/Abercrombie & Fitch.png
37,Abetta Care,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,logos/NULL
38,Abetta Tech,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,logos/NULL
