id,name,country,state,city,location,zip_code,website,phone,status,approved_by,user_id,logo_url
1,@Comm Corporation,United States,California,San Mateo,2041 Pioneer Ct. Suite 204,94403,www.atcomm.com,6503758188,approved,admin-krupa,admin-krupa,NULL
2,1st Financial Bank USA,United States,South Dakota,North Sioux City ,P.O. Box 7300,57049,www.1fbusa.com,NULL,approved,admin-krupa,admin-krupa,NULL
3,1st St NW Inc,United States,Minnesota,Eagan ,3140 Neil Armstrong Boulevard . Suite 103,55121,www.fsnw.com,6519051000,approved,admin-krupa,admin-krupa,NULL
4,24 Hour Fitness,United States,California,Carlsbad,Member Service Department,92018,www.24hourfitness.com,NULL,approved,admin-krupa,admin-krupa,24 hour.png
5,360 Networks,United States,Alabama,Addison,1510 1066 West Hastings Street,35540,www.360.net,NULL,approved,admin-krupa,admin-krupa,NULL
6,3Com Corporation,United States,Massachusetts,Marlborough,350 Campus Drive,1752,www.3com.com,NULL,approved,admin-krupa,admin-krupa,NULL
7,3M Company,United States,Minnesota,School Village,3M Corporate Headquarters,55144,www.3m.com,NULL,approved,admin-krupa,admin-krupa,3M Company.png
8,4yoursoul.com,United States,Nevada,Henderson,111 Corporate Park Drive,89074,www.4yoursoul.com,NULL,approved,admin-krupa,admin-krupa,NULL
9,5280 Solutions Inc,United States,Colorado,Highlands Ranch,630 Plaza Drive Suite 150,80129,www.5280solutions.com,NULL,approved,admin-krupa,admin-krupa,NULL
10,84 Lumber Company,United States,Ohio,Pullman,1019 Rte. 519,15330,www.84Lumber.com,7242288820,approved,admin-krupa,admin-krupa,NULL
11,A One Cleaners,United States,Ohio,Cincinnati,9157 Winton Road,45231,NULL,5135211212,approved,admin-krupa,admin-krupa,NULL
12,The Great Atlantic & Pacific Tea Company Inc,United States,New Jersey,Montvale,2 Paragon Drive,7645,www.aptea.com,2015714132,approved,admin-krupa,admin-krupa,NULL
13,A Haaker Consulting Inc,United States,South Carolina,Travelers Rest ,101 Majestic Court,29690,NULL,8648362732,approved,admin-krupa,admin-krupa,NULL
14,Teichert,United States,California,Sacramento,3500 American River Drive,95864,www.teichert.com,NULL,approved,admin-krupa,admin-krupa,NULL
15,A C Coy Company,United States,Pennsylvania,Pullman,400 Technology Drive,15317,www.accoy.com,NULL,approved,admin-krupa,admin-krupa,NULL
16,A E Feldman Associates Inc,United States,New York,Great Neck,445 Northern boulevard,11021,www.aefeldman.com,5167197900,approved,admin-krupa,admin-krupa,NULL
17,A P Technical Resources,United States,Texas,Austin ,11525 Stonehollow Drive Suite 150,78758,www.infics.com,NULL,approved,admin-krupa,admin-krupa,NULL
18,A|X Armani Exchange,United States,New York,New York,10 Columbus Circle Time,10019,www.armaniexchange.com,2128239321,approved,admin-krupa,admin-krupa,NULL
19,A4 Health Systems,United States,North Carolina,Cary,5501 Dillard Drive,27511,www.a4healthsystems.com,9198516177,approved,admin-krupa,admin-krupa,NULL
20,AAA Life Insurance Company,United States,Michigan ,Livonia,17250 Newburgh Road,48152,www.aaalife.com,NULL,approved,admin-krupa,admin-krupa,NULL
21,AAC Associates Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
22,AAF Mcquay Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
23,AAI Corporation,United States,Maryland,Hunt Valley,124 Industry Lane,21030,www.aaicorp.com,4106661400,approved,admin-krupa,admin-krupa,NULL
24,Aarons Sales & Lease Ownership,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
25,AARP,United States,District of Columbia,Washington,601 E Street NW,20049,www.aarp.org,NULL,approved,admin-krupa,admin-krupa,NULL
26,AARP Pharmacy Healthcare Options,United States,Pennsylvania,Pullman,P.O. Box 1017,18936,www.aarphealthcare.com,8004446544,approved,admin-krupa,admin-krupa,NULL
